12000 11.761915 11.93275 43.136111 16.6 61.34
10000 8.36 8.25 29.268662 11.39 42.7
8000 5.41 5.55 18.952617 7.31 26.55
6000 2.93 3.01 10.217112 4.084 15.13
4000 1.35 1.35 4.601389 1.82 6.59
2000 0.34 0.35 1.136432 0.46 1.66
1000 0.09 0.08 0.286517 0.11 0.42
800 0.05 0.05 0.183323 0.073 0.27
600 0.03 0.03 0.104885 0.041 0.15
400 0.014 0.01 0.046798 0.0174 0.062
200 0.0038 0.0038 0.011055 0.0048 0.0166
100 0.0013 0.0013 0.002758 0.0013 0.00412
50 0.0013 0.0019 0.000678 0.00055 0.00096
32 0.0011 0.0007 0.000278 0.00022 0.0004
